sfc, reqps, cpu, memory, link, latency
sfc2-1,26,2.6327027287334204,14.60290415911004,4.316,1297.4519341472867
sfc0-0,24,0.7415127009153366,1.3140703900717199,0.5760000000000001,1305.1015890083331
sfc0-1,24,0.7415127009153366,1.3140703900717199,0.38400000000000006,1264.630072532787
sfc0-2,20,0.6335058622062206,1.3090609852224588,0.32000000000000006,695.2173918235293
sfc0-3,23,0.7145110424607992,1.3122580014169216,0.36800000000000005,1123.8222856120692
sfc0-4,22,0.6875093840062618,1.311565674841404,0.30800000000000005,1495.515630585586
sfc0-5,19,0.6065042037516832,1.3072486221790314,0.30400000000000005,1433.3344984255314
sfc1-0,27,0.8999839797616005,3.7932940083555877,0.4320000000000001,943.8622045714292
sfc1-1,18,0.5795023404061794,3.7804306973703206,0.432,871.0432371413048
sfc1-2,28,0.945002674125135,3.795345709659159,0.4480000000000001,631.9213398115936
sfc1-3,25,0.8099472057074308,3.790311103221029,0.4000000000000001,997.5169317661289
sfc2-1,25,2.5467528123408556,14.59586072480306,4.15,963.4147576692908
sfc0-0,28,0.849519744515419,1.319079794920981,0.672,1014.4359840714285
sfc0-1,28,0.849519744515419,1.319079794920981,0.4480000000000001,691.7386121478872
sfc0-2,20,0.6335058622062206,1.3090609852224588,0.32000000000000006,738.5650803627452
sfc0-3,32,0.957526583224535,1.3240892766043544,0.512,676.8332703607595
sfc0-4,28,0.849519744515419,1.319079794920981,0.39200000000000007,704.91811718705
sfc0-5,18,0.5795023404061794,1.306556269992143,0.28800000000000003,748.3661512417582
sfc1-0,31,1.0800580400973558,3.7992600491270423,0.496,709.5518559346407
sfc1-1,19,0.6065042037516832,3.781362157315016,0.456,708.3322924731184
sfc1-2,35,1.2601320492103696,3.805226217955351,0.56,691.636549745665
sfc1-3,38,1.3951875688508153,3.810260593891144,0.6080000000000001,709.5509790797869
sfc2-1,26,2.6327027287334204,14.60290415911004,4.316,710.6393416106871
sfc0-0,27,0.8225178811699152,1.3172674062661827,0.648,1343.1105255939851
sfc0-1,28,0.849519744515419,1.319079794920981,0.4480000000000001,751.8536498510641
sfc0-2,20,0.6335058622062206,1.3090609852224588,0.32000000000000006,1331.7603412058822
sfc0-3,28,0.849519744515419,1.319079794920981,0.4480000000000001,818.0233152553194
sfc0-4,28,0.849519744515419,1.319079794920981,0.39200000000000007,772.6700402340421
sfc0-5,20,0.6335058622062206,1.3090609852224588,0.32000000000000006,801.9778697979798
sfc1-0,27,0.8999839797616005,3.7932940083555877,0.4320000000000001,973.5477628613141
sfc1-1,18,0.5795023404061794,3.7804306973703206,0.432,591.6198109333333
sfc1-2,31,1.0800580400973558,3.7992600491270423,0.496,658.8614485286623
sfc1-3,36,1.305150487460196,3.807277688756585,0.5760000000000001,957.9380058435759
sfc2-1,27,2.718652542680502,14.608826737385243,4.482,984.8345337185185
sfc0-0,24,0.7415127009153366,1.3140703900717199,0.5760000000000001,878.2705337107437
sfc0-1,26,0.7955162227153778,1.316575079690665,0.4160000000000001,878.7778338307694
sfc0-2,23,0.7145110424607992,1.3122580014169216,0.36800000000000005,884.1096291415932
sfc0-3,26,0.7955162227153778,1.316575079690665,0.4160000000000001,876.3989181937985
sfc0-4,25,0.7685145642608404,1.3147627166472375,0.35000000000000003,873.7669422764227
sfc0-5,20,0.6335058622062206,1.3090609852224588,0.32000000000000006,878.3589990306122
